id,incident_number,campus_id,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,date,year,month,month_name,hour,day_of_week,is_weekend,time_bucket
745,26SL00005,19,01/23/2026 11:03 PM,2026-01-23 22:58:00,01/23/2026 11:03 PM,"Resident Assistant reported the odor of marijuana, origin not located",NITTANY APARTMENTS V,2026-02-18 21:43:32,2026-01-23,2026,1,January,22,Friday,False,Late Night
746,26UP00363,1,01/23/2026 11:00 PM,2026-01-23 21:00:00,01/23/2026 11:12 PM,Employee reported suspicious activity,BRYCE JORDAN CENTER,2026-02-18 21:43:32,2026-01-23,2026,1,January,21,Friday,False,Evening
747,PSHI-2026-01-I-133018,2,01/23/2026 10:40 PM,2026-01-23 21:49:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 4 - Neuro > HMC - Main Hospital - 4 - Neuro,2026-02-18 21:43:32,2026-01-23,2026,1,January,21,Friday,False,Evening
748,26UP00354,1,01/23/2026 08:52 PM,2026-01-23 20:52:00,,Underage student observed highly intoxicated,BRYCE JORDAN CENTER,2026-02-18 21:43:32,2026-01-23,2026,1,January,20,Friday,False,Evening
749,26UP00353,1,01/23/2026 08:23 PM,2026-01-23 20:23:00,,Assisted Residence Life staff with a University policy violation,BIGLER HALL,2026-02-18 21:43:32,2026-01-23,2026,1,January,20,Friday,False,Evening
750,26UP00352,1,01/23/2026 07:43 PM,2026-01-23 19:43:00,01/23/2026 07:45 PM,Assisted an outside law enforcement agency with an investigation,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32,2026-01-23,2026,1,January,19,Friday,False,Evening
751,26UP00351,1,01/23/2026 07:29 PM,2026-01-23 19:29:00,01/23/2026 07:46 PM,Visitor requested assistance with a personal matter,NITTANY PARKING,2026-02-18 21:43:32,2026-01-23,2026,1,January,19,Friday,False,Evening
752,26YK00003,23,01/23/2026 06:23 PM,2026-01-23 18:00:00,01/23/2026 06:23 PM,Visitor reported a concern for other persons,EDGECOMB AVE,2026-02-18 21:43:32,2026-01-23,2026,1,January,18,Friday,False,Evening
753,26UP00350,1,01/23/2026 04:45 PM,2026-01-23 16:45:00,,Received this department's copy of a Protection From Abuse (PFA) order,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32,2026-01-23,2026,1,January,16,Friday,False,Afternoon
754,26UP00348,1,01/23/2026 04:41 PM,2026-01-23 16:41:00,01/23/2026 05:15 PM,Received this department's copy of a Protection From Abuse (PFA) order,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32,2026-01-23,2026,1,January,16,Friday,False,Afternoon
755,PSHI-2026-01-I-133008,2,01/23/2026 04:00 PM,2026-01-23 14:46:00,,Assisted with on site medical emergency with visitor.,Hershey - Dispatched To: HMC - Main Hospital  > HMC - Main Hospital,2026-02-18 21:43:32,2026-01-23,2026,1,January,14,Friday,False,Afternoon
756,PSHI-2026-01-I-133007,2,01/23/2026 03:33 PM,2026-01-23 15:15:00,,Assisted clinical staff with a visitor issue.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32,2026-01-23,2026,1,January,15,Friday,False,Afternoon
757,PSHI-2026-01-I-133006,2,01/23/2026 03:27 PM,2026-01-23 09:25:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC Off-Site - PSMG - Cocoa Outpatient Center - PSMG > HMC Off-Site - PSMG - Cocoa Outpatient Center - PSMG,2026-02-18 21:43:32,2026-01-23,2026,1,January,9,Friday,False,Morning
758,26UP00347,1,01/23/2026 03:14 PM,2025-12-01 00:00:00,01/23/2026 05:49 PM,Employee reported suspicious person,ERIC J. BARRON INNOVATION HUB BUILDING,2026-02-18 21:43:32,2025-12-01,2025,12,December,0,Monday,False,Late Night
759,PSHI-2026-01-I-133002,2,01/23/2026 02:33 PM,2026-01-23 12:26:00,,Visitor sustained minor injury.,Hershey - Dispatched To: HMC - Children's Hospital - 8 - NICU - Neonatal Intensive Care Unit West (NICU) > HMC - Children's Hospital - 8 - NICU - Neonatal Intensive Care Unit West (NICU),2026-02-18 21:43:32,2026-01-23,2026,1,January,12,Friday,False,Afternoon
760,26UP00343,1,01/23/2026 02:14 PM,2026-01-22 14:02:00,01/23/2026 02:14 PM,Employee reported suspicious activity,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32,2026-01-22,2026,1,January,14,Thursday,False,Afternoon
761,PSHI-2026-01-I-132997,2,01/23/2026 02:03 PM,2026-01-23 13:21:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 4 - Neuroscience Integrated Care Unit East > HMC - Main Hospital - 4 - Neuroscience Integrated Care Unit East,2026-02-18 21:43:32,2026-01-23,2026,1,January,13,Friday,False,Afternoon
762,26UP00342,1,01/23/2026 02:00 PM,2026-01-23 14:00:00,01/23/2026 02:47 PM,Employee reported accidental damage to a privately owned vehicle,MEATS LAB,2026-02-18 21:43:32,2026-01-23,2026,1,January,14,Friday,False,Afternoon
763,PSHI-2026-01-I-132996,2,01/23/2026 12:21 PM,2026-01-23 11:19:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 4 - Neuroscience Integrated Care Unit East > HMC - Main Hospital - 4 - Neuroscience Integrated Care Unit East,2026-02-18 21:43:32,2026-01-23,2026,1,January,11,Friday,False,Morning
764,26YK00002,23,01/23/2026 11:09 AM,2026-01-23 10:03:00,01/23/2026 10:05 AM,Student reported a two vehicle crash with no injuries,UPPER PULLO CENTER PARKING LOT - YORK,2026-02-18 21:43:32,2026-01-23,2026,1,January,10,Friday,False,Morning
765,PSHI-2026-01-I-132995,2,01/23/2026 09:48 AM,2026-01-23 09:36:00,,Vetted visitor through lobby management software.,Hershey - Dispatched To: HMC - Children's Hospital > HMC - Children's Hospital,2026-02-18 21:43:32,2026-01-23,2026,1,January,9,Friday,False,Morning
766,PSHI-2026-01-I-132994,2,01/23/2026 09:32 AM,2026-01-23 07:11:00,,Assisted clinic staff with disgruntled visitor.,Hershey - Dispatched To: HMC - 15 Hope Drive - HOSC > HMC - 15 Hope Drive - HOSC,2026-02-18 21:43:32,2026-01-23,2026,1,January,7,Friday,False,Morning
767,26UP00341,1,01/23/2026 09:15 AM,2026-01-23 09:15:00,01/23/2026 09:30 AM,Assisted the fire department with a reported smoke condition/fire alarmactivation,GRUBB HALL,2026-02-18 21:43:32,2026-01-23,2026,1,January,9,Friday,False,Morning
768,26BK00015,4,01/23/2026 07:17 AM,2026-01-23 07:17:00,01/23/2026 07:22 AM,Employee reported a parking concern,CLARY DR,2026-02-18 21:43:32,2026-01-23,2026,1,January,7,Friday,False,Morning
769,PSHI-2026-01-I-132989,2,01/23/2026 05:20 AM,2026-01-23 01:37:00,,Vetted visitor through lobby management.,Hershey - Dispatched To: HMC - Children's Hospital > HMC - Children's Hospital,2026-02-18 21:43:32,2026-01-23,2026,1,January,1,Friday,False,Late Night
770,26UP00340,1,01/23/2026 04:02 AM,2026-01-23 04:02:00,01/23/2026 05:43 AM,Officer conducted a security inspection,ADLER ATHLETIC COMPLEX,2026-02-18 21:43:32,2026-01-23,2026,1,January,4,Friday,False,Late Night
771,PSHI-2026-01-I-132988,2,01/23/2026 03:46 AM,2026-01-23 02:50:00,,Assisted clinical staff with agitated visitor.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32,2026-01-23,2026,1,January,2,Friday,False,Late Night
772,PSHI-2026-01-I-132987,2,01/23/2026 01:21 AM,2026-01-23 21:14:00,,Visitor mismatch to the sex offender registry.,Hershey - Dispatched To: HMC - Children's Hospital > HMC - Children's Hospital,2026-02-18 21:43:32,2026-01-23,2026,1,January,21,Friday,False,Evening
773,PSHI-2026-01-I-132985,2,01/22/2026 11:23 PM,2026-01-22 22:34:00,,Turned over suspected drugs to the police.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32,2026-01-22,2026,1,January,22,Thursday,False,Late Night
774,26ER00024,5,01/22/2026 11:00 PM,2026-01-22 23:00:00,01/23/2026 12:55 AM,Underage student observed highly intoxicated and transported to the hospital,TIFFANY HALL,2026-02-18 21:43:32,2026-01-22,2026,1,January,23,Thursday,False,Late Night
775,26UP00336,1,01/22/2026 10:29 PM,2026-01-22 22:29:00,01/22/2026 11:00 PM,Student observed highly intoxicated and transported to the hospital,W BEAVER AVE,2026-02-18 21:43:32,2026-01-22,2026,1,January,22,Thursday,False,Late Night
776,26ER00023,5,01/22/2026 08:57 PM,2026-01-22 20:57:00,01/22/2026 09:08 PM,Employee reported a fire alarm activation,ELLIOTT HALL,2026-02-18 21:43:32,2026-01-22,2026,1,January,20,Thursday,False,Evening
777,26UP00328,1,01/22/2026 08:09 PM,2026-01-22 20:09:00,01/22/2026 08:21 PM,Student requested assistance with an administrative matter,GEARY HALL,2026-02-18 21:43:32,2026-01-22,2026,1,January,20,Thursday,False,Evening
778,26UP00329,1,01/22/2026 08:08 PM,2026-01-22 20:08:00,01/22/2026 08:34 PM,Received this department's copy of a Protection From Abuse (PFA) order,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32,2026-01-22,2026,1,January,20,Thursday,False,Evening
779,PSHI-2026-01-I-132979,2,01/22/2026 07:53 PM,2026-01-22 18:40:00,,Assisted visitor with transportation issues.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32,2026-01-22,2026,1,January,18,Thursday,False,Evening
780,26BW00008,7,01/22/2026 06:45 PM,2025-10-01 00:00:00,01/20/2026 12:00 AM,Student reported disorderly person,ORCHARD HALL,2026-02-18 21:43:32,2025-10-01,2025,10,October,0,Wednesday,False,Late Night
781,26UP00326,1,01/22/2026 04:20 PM,2026-01-22 13:53:00,01/22/2026 04:39 PM,Employee reported suspicious activity,BOUCKE BLDG,2026-02-18 21:43:32,2026-01-22,2026,1,January,13,Thursday,False,Afternoon
782,26AL00035,3,01/22/2026 04:10 PM,2026-01-22 16:10:00,01/22/2026 04:40 PM,Employee reported a fire alarm activation,OAK HALL,2026-02-18 21:43:32,2026-01-22,2026,1,January,16,Thursday,False,Afternoon
783,26UP00325,1,01/22/2026 03:48 PM,2026-01-22 15:48:00,01/22/2026 04:11 PM,Visitor reported abandoned property,NITTANY PARKING,2026-02-18 21:43:32,2026-01-22,2026,1,January,15,Thursday,False,Afternoon
784,26FE00001,10,01/22/2026 03:38 PM,2020-01-22 00:00:00,01/23/2026 11:47 AM,Employees reported being harassed,COAL AND COKE HERATIGE MUSEUM,2026-02-18 21:43:32,2020-01-22,2020,1,January,0,Wednesday,False,Late Night
785,26UP00324,1,01/22/2026 02:17 PM,2026-01-18 18:00:00,01/18/2026 11:59 PM,Student reported being harassed,ROBINSON HALL,2026-02-18 21:43:32,2026-01-18,2026,1,January,18,Sunday,True,Evening
787,26UP00321,1,01/22/2026 12:48 PM,2026-01-22 12:48:00,01/22/2026 01:31 PM,Visitor reported being physically assaulted by a known person,AIRPORT AIR TERMINAL BLDG,2026-02-18 21:43:32,2026-01-22,2026,1,January,12,Thursday,False,Afternoon
788,26AL00034,3,01/22/2026 12:22 PM,2026-01-22 12:22:00,01/22/2026 01:00 PM,Assisted an outside law enforcement agency with an investigation,COLONIAL DR,2026-02-18 21:43:32,2026-01-22,2026,1,January,12,Thursday,False,Afternoon
789,PSHI-2026-01-I-132960,2,01/22/2026 10:40 AM,2026-01-22 09:42:00,,Infant Abduction Drill.,Hershey - Dispatched To: HMC - Children's Hospital > HMC - Children's Hospital,2026-02-18 21:43:32,2026-01-22,2026,1,January,9,Thursday,False,Morning
790,26BW00007,7,01/22/2026 10:32 AM,2026-01-22 10:32:00,01/22/2026 10:00 AM,Employee reported a parking concern,ORCHARD HALL,2026-02-18 21:43:32,2026-01-22,2026,1,January,10,Thursday,False,Morning
791,PSHI-2026-01-I-132959,2,01/22/2026 10:16 AM,2026-01-22 09:52:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32,2026-01-22,2026,1,January,9,Thursday,False,Morning
792,26ER00022,5,01/22/2026 10:00 AM,2026-01-22 09:55:00,01/22/2026 10:45 AM,Visitor reported a traffic concern regarding a vehicle,SENAT HALL SIDEWALK,2026-02-18 21:43:32,2026-01-22,2026,1,January,9,Thursday,False,Morning
793,26BK00014,4,01/22/2026 09:46 AM,2026-01-22 09:46:00,,Employee reported a parking concern,CLARY DR,2026-02-18 21:43:32,2026-01-22,2026,1,January,9,Thursday,False,Morning
794,26BK00013,4,01/22/2026 09:35 AM,2026-01-22 09:35:00,,Employee reported a parking concern,FACULTY STAFF VISITOR LOT B1 - BERKS,2026-02-18 21:43:32,2026-01-22,2026,1,January,9,Thursday,False,Morning
795,26UP00319,1,01/22/2026 08:44 AM,2026-01-22 08:44:00,01/22/2026 08:50 AM,Visitor requested assistance in locating a student,MILLER HALL,2026-02-18 21:43:32,2026-01-22,2026,1,January,8,Thursday,False,Morning
796,26LV00002,16,01/22/2026 08:28 AM,2006-01-21 19:26:00,,Employee reported a concern for a student,LEHIGH VALLEY BLDG,2026-02-18 21:43:32,2006-01-21,2006,1,January,19,Saturday,True,Evening
797,PSHI-2026-01-I-132958,2,01/22/2026 07:34 AM,2026-01-21 14:41:00,,Assisted clinical staff with agitated visitor.,Hershey - Dispatched To: HMC - UPC-1 > HMC - UPC-1,2026-02-18 21:43:32,2026-01-21,2026,1,January,14,Wednesday,False,Afternoon
798,PSHI-2026-01-I-132956,2,01/22/2026 06:00 AM,2026-01-22 05:38:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32,2026-01-22,2026,1,January,5,Thursday,False,Morning
799,26AL00032,3,01/22/2026 02:30 AM,2026-01-22 02:30:00,,Employee reported a fire alarm activation,OAK HALL,2026-02-18 21:43:32,2026-01-22,2026,1,January,2,Thursday,False,Late Night
800,PSHI-2026-01-I-132953,2,01/22/2026 02:17 AM,2026-01-21 18:50:00,,Team de-escalation for agitated patient.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32,2026-01-21,2026,1,January,18,Wednesday,False,Evening
801,26UP00317,1,01/22/2026 12:17 AM,2026-01-18 23:00:00,01/18/2025 11:00 PM,Student reported a person trespassing inside a residence hall room,PENNYPACKER HALL,2026-02-18 21:43:32,2026-01-18,2026,1,January,23,Sunday,True,Late Night
802,PSHI-2026-01-I-132949,2,01/21/2026 11:24 PM,2026-01-21 22:51:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 4 - Neuro > HMC - Main Hospital - 4 - Neuro,2026-02-18 21:43:32,2026-01-21,2026,1,January,22,Wednesday,False,Late Night
803,26ER00021,5,01/21/2026 11:20 PM,2026-01-21 23:20:00,01/21/2026 11:30 PM,Employee reported a fire alarm activation,ALMY HALL,2026-02-18 21:43:32,2026-01-21,2026,1,January,23,Wednesday,False,Late Night
804,26UP00314,1,01/21/2026 11:06 PM,2026-01-21 23:06:00,01/21/2026 11:35 PM,Employee reported a fire alarm activation,PINCHOT HALL,2026-02-18 21:43:32,2026-01-21,2026,1,January,23,Wednesday,False,Late Night
805,PSHI-2026-01-I-132945,2,01/21/2026 10:17 PM,2026-01-21 20:40:00,,Assisted clinical staff with agitated visitor.,Hershey - Dispatched To: HMC - Main Hospital - 1 - Surgical Waiting Area > HMC - Main Hospital - 1 - Surgical Waiting Area,2026-02-18 21:43:32,2026-01-21,2026,1,January,20,Wednesday,False,Evening
806,26AB00019,2,01/21/2026 09:52 PM,2026-01-21 21:52:00,01/21/2026 10:02 PM,Visitor mistakenly dialed 911. no issue discovered,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-01-21,2026,1,January,21,Wednesday,False,Evening
807,26UP00313,1,01/21/2026 08:54 PM,2026-01-21 20:54:00,01/22/2026 11:51 PM,Student reported being harassed,PENNYPACKER HALL,2026-02-18 21:43:32,2026-01-21,2026,1,January,20,Wednesday,False,Evening
808,26UP00312,1,01/21/2026 06:54 PM,2026-01-21 18:54:00,,Assisted an outside law enforcement agency,MOORE BLDG,2026-02-18 21:43:32,2026-01-21,2026,1,January,18,Wednesday,False,Evening
809,26UP00311,1,01/21/2026 06:48 PM,2026-01-21 12:40:00,01/21/2026 10:17 AM,Employee reported being harassed,UNKNOWN LOCATION,2026-02-18 21:43:32,2026-01-21,2026,1,January,12,Wednesday,False,Afternoon
810,26AL00031,3,01/21/2026 06:13 PM,2026-01-21 17:00:00,01/21/2026 06:13 PM,Employee reported suspicious persons,HAWTHORN BLDG,2026-02-18 21:43:32,2026-01-21,2026,1,January,17,Wednesday,False,Evening
811,26ER00020,5,01/21/2026 06:00 PM,2026-01-21 18:00:00,01/21/2026 06:29 PM,Employee reported unsafe conditions,REED BUILDING NORTH SIDEWALK,2026-02-18 21:43:32,2026-01-21,2026,1,January,18,Wednesday,False,Evening
812,26AB00018,2,01/21/2026 05:54 PM,2026-01-08 00:00:00,01/21/2026 12:42 AM,Student reported a concern for another student,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-01-08,2026,1,January,0,Thursday,False,Late Night
813,26HN00005,15,01/21/2026 05:15 PM,2026-01-21 17:15:00,01/21/2026 05:36 PM,Employee reported a fire alarm drill activation,RESIDENCE HALL NORTH,2026-02-18 21:43:32,2026-01-21,2026,1,January,17,Wednesday,False,Evening
814,PSHI-2026-01-I-132935,2,01/21/2026 05:11 PM,2026-01-21 17:04:00,,Received court documents.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32,2026-01-21,2026,1,January,17,Wednesday,False,Evening
815,26UP00309,1,01/21/2026 04:39 PM,2026-01-18 17:00:00,01/21/2026 04:49 PM,Student reported the theft of their unattended personal property,MCELWAIN HALL,2026-02-18 21:43:32,2026-01-18,2026,1,January,17,Sunday,True,Evening
816,PSHI-2026-01-I-132934,2,01/21/2026 04:39 PM,2026-01-21 12:35:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Children's Hospital > HMC - Children's Hospital,2026-02-18 21:43:32,2026-01-21,2026,1,January,12,Wednesday,False,Afternoon
817,26UP00308,1,01/21/2026 04:19 PM,2026-01-21 16:05:00,01/21/2026 04:51 PM,Student reported a two vehicle crash with no injuries,COMMUTER JORDAN EAST 2 LOT,2026-02-18 21:43:32,2026-01-21,2026,1,January,16,Wednesday,False,Afternoon
818,PSHI-2026-01-I-132930,2,01/21/2026 04:02 PM,2026-01-21 15:46:00,,Assisted clinical staff with trauma patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32,2026-01-21,2026,1,January,15,Wednesday,False,Afternoon
819,26UP00307,1,01/21/2026 02:47 PM,2026-01-21 14:47:00,01/21/2026 05:04 PM,Visitor reported suspicious activity,HASTINGS HALL,2026-02-18 21:43:32,2026-01-21,2026,1,January,14,Wednesday,False,Afternoon
820,26BW00014,7,01/21/2026 02:40 PM,2026-01-21 14:30:00,01/21/2026 02:45 PM,Assisted the ambulance with a medical emergency,COMMONS & ATHLETIC CENTER,2026-02-18 21:43:32,2026-01-21,2026,1,January,14,Wednesday,False,Afternoon
821,26UP00306,1,01/21/2026 01:29 PM,2026-01-21 13:29:00,01/21/2026 03:14 PM,Employee requested assistance with an administrative matter,BUSINESS BLDG,2026-02-18 21:43:32,2026-01-21,2026,1,January,13,Wednesday,False,Afternoon
822,26LV00001,16,01/21/2026 01:00 PM,2026-01-21 13:00:00,,Assisted a student with a personal matter,LEHIGH VALLEY BLDG,2026-02-18 21:43:32,2026-01-21,2026,1,January,13,Wednesday,False,Afternoon
823,26AL00030,3,01/21/2026 12:34 PM,2026-01-21 12:34:00,01/21/2026 12:50 PM,Employee reported a parking concern,IVY LOT - GIV - ALTOONA,2026-02-18 21:43:32,2026-01-21,2026,1,January,12,Wednesday,False,Afternoon
824,PSHI-2026-01-I-132923,2,01/21/2026 11:11 AM,2026-01-21 12:35:00,,Minor crash on campus.,Hershey - Dispatched To: HMC - University Drive Roadway > HMC - University Drive Roadway,2026-02-18 21:43:32,2026-01-21,2026,1,January,12,Wednesday,False,Afternoon
825,26UP00304,1,01/21/2026 10:18 AM,2026-01-20 12:30:00,01/21/2026 05:30 AM,Employee requested assistance with an administrative matter,"ANIMAL, VETERINARY, AND BIOMEDICAL SCIENCES BUILDING",2026-02-18 21:43:32,2026-01-20,2026,1,January,12,Tuesday,False,Afternoon
826,PSHI-2026-01-I-132922,2,01/21/2026 10:14 AM,2026-01-21 10:12:00,,Received court documents.,Hershey - Reported Location: HMC - Main Hospital - 7 - PSCI,2026-02-18 21:43:32,2026-01-21,2026,1,January,10,Wednesday,False,Morning
827,26UP00303,1,01/21/2026 10:06 AM,2026-01-20 17:24:00,,Student reported the theft of their unsecured personal property,WHITE BLDG,2026-02-18 21:43:32,2026-01-20,2026,1,January,17,Tuesday,False,Evening
828,26AL00029,3,01/21/2026 08:17 AM,2026-01-21 08:13:00,01/21/2026 08:21 AM,Employee reported a fire alarm activation,OAK HALL,2026-02-18 21:43:32,2026-01-21,2026,1,January,8,Wednesday,False,Morning
829,PSHI-2026-01-I-132912,2,01/21/2026 02:37 AM,2026-01-21 02:11:00,,Assisted clinical staff with agitated visitor.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32,2026-01-21,2026,1,January,2,Wednesday,False,Late Night
830,26UP00302,1,01/21/2026 12:55 AM,2026-01-21 00:55:00,01/21/2026 01:30 AM,Employee reported a fire and smoke condition,OLD COALY WAY,2026-02-18 21:43:32,2026-01-21,2026,1,January,0,Wednesday,False,Late Night
831,PSHI-2026-01-I-132910,2,01/20/2026 11:26 PM,2026-01-20 22:51:00,,Assisted law enforcement with access to patient.,Hershey - Dispatched To: HMC - Main Hospital - 7 - PSCI > HMC - Main Hospital - 7 - PSCI,2026-02-18 21:43:32,2026-01-20,2026,1,January,22,Tuesday,False,Late Night
832,PSHI-2026-01-I-132907,2,01/20/2026 09:54 PM,2026-01-20 19:11:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 4 - Acute Care > HMC - Main Hospital - 4 - Acute Care,2026-02-18 21:43:32,2026-01-20,2026,1,January,19,Tuesday,False,Evening
833,26UP00298,1,01/20/2026 08:27 PM,2026-01-20 20:27:00,01/20/2026 08:37 PM,Employee reported a traffic complaint,STUCKEMAN FAMILY BLDG,2026-02-18 21:43:32,2026-01-20,2026,1,January,20,Tuesday,False,Evening
834,26UP00299,1,01/20/2026 08:15 PM,2026-01-20 20:15:00,01/20/2026 09:03 PM,Assisted a student with a personal matter,BEAM HALL,2026-02-18 21:43:32,2026-01-20,2026,1,January,20,Tuesday,False,Evening
835,26AL00028,3,01/20/2026 08:10 PM,2026-01-20 20:10:00,01/20/2026 08:22 PM,Employee reported a fire alarm activation,OAK HALL,2026-02-18 21:43:32,2026-01-20,2026,1,January,20,Tuesday,False,Evening
836,26HN00004,15,01/20/2026 06:17 PM,2026-01-20 18:18:00,01/20/2026 06:20 PM,Officers responded to a 911 hang-up with no voice contact,KOSTOS BUILDING,2026-02-18 21:43:32,2026-01-20,2026,1,January,18,Tuesday,False,Evening
837,26UP00297,1,01/20/2026 05:11 PM,2026-01-20 16:45:00,01/20/2026 05:56 PM,Assisted a student with a personal matter,BEAM HALL,2026-02-18 21:43:32,2026-01-20,2026,1,January,16,Tuesday,False,Afternoon
838,PSHI-2026-01-I-132897,2,01/20/2026 05:07 PM,2026-01-20 15:12:00,,Assisted clinical staff with agitated visitor.,Hershey - Dispatched To: HMC - Children's Hospital - 6 - Pediatric Surgical Care Unit > HMC - Children's Hospital - 6 - Pediatric Surgical Care Unit,2026-02-18 21:43:32,2026-01-20,2026,1,January,15,Tuesday,False,Afternoon
839,PSHI-2026-01-I-132896,2,01/20/2026 04:30 PM,2026-01-20 16:23:00,,Visitor match to the sex offender registry.,Hershey - Dispatched To: HMC - Children's Hospital - 1 - Children's Hospital Main Information Desk > HMC - Children's Hospital - 1 - Children's Hospital Main Information Desk,2026-02-18 21:43:32,2026-01-20,2026,1,January,16,Tuesday,False,Afternoon
840,26UP00295,1,01/20/2026 03:55 PM,2026-01-20 15:55:00,01/20/2026 05:04 PM,Employee reported suspicious activity,CURTIN HALL,2026-02-18 21:43:32,2026-01-20,2026,1,January,15,Tuesday,False,Afternoon
841,26UP00294,1,01/20/2026 03:40 PM,2026-01-17 02:00:00,01/17/2026 10:00 AM,Employee reported damage to University property,SPROUL HALL,2026-02-18 21:43:32,2026-01-17,2026,1,January,2,Saturday,True,Late Night
842,26AB00017,2,01/20/2026 03:39 PM,2026-01-20 15:39:00,,Assisted an employee with an administrative matter,RYDAL BUILDING,2026-02-18 21:43:32,2026-01-20,2026,1,January,15,Tuesday,False,Afternoon
843,PSHI-2026-01-I-132895,2,01/20/2026 03:36 PM,2026-01-20 15:26:00,,Provided escort to vendor.,Hershey - Dispatched To: HMC - Main Hospital - 1 - Cashier's Office > HMC - Main Hospital - 1 - Cashier's Office,2026-02-18 21:43:32,2026-01-20,2026,1,January,15,Tuesday,False,Afternoon
844,PSHI-2026-01-I-132894,2,01/20/2026 03:16 PM,2026-01-20 11:45:00,,Assisted clinical staff with agitated visitor.,Hershey - Dispatched To: HMC - 35 Hope Drive - 1 - Peds Clinic > HMC - 35 Hope Drive - 1 - Peds Clinic,2026-02-18 21:43:32,2026-01-20,2026,1,January,11,Tuesday,False,Morning
845,26WS00003,22,01/20/2026 02:50 PM,2026-01-20 14:50:00,,Employee reported a student being harassed,1ST AVE,2026-02-18 21:43:32,2026-01-20,2026,1,January,14,Tuesday,False,Afternoon
846,26WS00002,22,01/20/2026 01:10 PM,2026-01-20 13:00:00,01/20/2026 01:10 PM,Visitor reported a concern for a student,DEPOT ST,2026-02-18 21:43:32,2026-01-20,2026,1,January,13,Tuesday,False,Afternoon
847,PSHI-2026-01-I-132890,2,01/20/2026 01:10 PM,2026-01-20 12:47:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Children's Hospital - 1 - P1400: Peds Hem\Oc Clinic > HMC - Children's Hospital - 1 - P1400: Peds Hem\Oc Clinic,2026-02-18 21:43:32,2026-01-20,2026,1,January,12,Tuesday,False,Afternoon
848,26BK00011,4,01/20/2026 01:07 PM,2026-01-20 12:15:00,01/20/2026 02:16 PM,Visitor reported a parking concern,FACULTY STAFF VISITOR LOT B1 - BERKS,2026-02-18 21:43:32,2026-01-20,2026,1,January,12,Tuesday,False,Afternoon
849,PSHI-2026-01-I-132889,2,01/20/2026 12:31 PM,2026-01-20 08:38:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32,2026-01-20,2026,1,January,8,Tuesday,False,Morning
850,26HB00019,13,01/20/2026 11:15 AM,2026-01-20 11:00:00,01/20/2026 11:35 AM,Visitor requested assistance in locating a student,MUNCY HOUSE,2026-02-18 21:43:32,2026-01-20,2026,1,January,11,Tuesday,False,Morning
851,26BK00010,4,01/20/2026 10:46 AM,2026-01-20 10:46:00,01/20/2026 12:11 PM,Visitor reported a concern for a student,COMMUTER LOT G1 - BERKS,2026-02-18 21:43:32,2026-01-20,2026,1,January,10,Tuesday,False,Morning
852,26UP00293,1,01/20/2026 10:45 AM,2026-01-20 10:30:00,01/20/2026 11:16 AM,Employee reported a two vehicle crash with no injuries,YELLOW T REDIFER LOT,2026-02-18 21:43:32,2026-01-20,2026,1,January,10,Tuesday,False,Morning
