id,incident_number,campus_id,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at
23,26BKTemp0003,4,02/16/2026 03:30 PM,02/16/2026 03:30 PM,02/16/2026 04:30 PM,Employee reported a fire drill alarm,PEPPERWOOD HALL,2026-02-18 21:43:32
24,26ERtemp0005,5,02/16/2026 03:20 PM,02/16/2026 03:15 PM,02/16/2026 03:45 PM,Employee reported a concern for a visitor,REED LOT,2026-02-18 21:43:32
25,2026-00002079,2,02/16/2026 11:39 AM,02/06/2026 09:30 PM,02/07/2026 01:30 AM,Assisted a student with an administrative matter,STONE HALL,2026-02-18 21:43:32
26,2026-00002078,2,02/16/2026 11:20 AM,02/13/2026 12:00 AM,02/13/2026 11:59 PM,Assisted an outside law enforcement agency with an investigation,OFF CAMPUS FRATERNITY,2026-02-18 21:43:32
27,2026-00002076,2,02/16/2026 10:17 AM,02/06/2026 12:00 AM,02/06/2026 11:59 PM,Assisted an outside law enforcement agency with an investigation,OFF CAMPUS FRATERNITY,2026-02-18 21:43:32
28,26SHtemp0001,20,02/16/2026 09:45 AM,02/16/2026 09:45 AM,02/17/2026 01:00 PM,Employee requested assistance with an adminstrative matter,Sharon Hall,2026-02-18 21:43:32
29,2026-00002074,2,02/16/2026 02:47 AM,02/16/2026 02:47 AM,02/16/2026 03:24 AM,A vehicle stop investigation revealed the operator to be driving under the influence of alcohol,N ATHERTON ST & WOODLAND DR,2026-02-18 21:43:32
30,2026-00002081,2,02/16/2026 02:00 AM,02/16/2026 02:00 AM,02/16/2026 08:30 AM,Employee reported suspicious person,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32
31,26ABTemp0009,2,02/15/2026 11:50 PM,02/15/2026 11:50 PM,02/15/2026 11:59 PM,Visitor reported a concern for a student,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32
32,2026-00002067,2,02/15/2026 09:31 PM,02/15/2026 09:27 PM,02/15/2026 10:30 PM,Assisted an outside law enforcement agency with an investigation,WHITE BLDG,2026-02-18 21:43:32
33,2026-00002066,2,02/15/2026 09:07 PM,02/15/2026 09:07 PM,02/15/2026 09:33 PM,Student reported suspicious activity,HASTINGS HALL,2026-02-18 21:43:32
34,26ABTemp0008,2,02/15/2026 08:24 PM,02/15/2026 08:20 PM,02/14/2026 08:50 PM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32
35,2026-00002065,2,02/15/2026 08:20 PM,02/15/2026 08:20 PM,,Assisted a student with a personal matter,WARING HALL,2026-02-18 21:43:32
36,26ERtemp0004,5,02/15/2026 08:15 PM,02/15/2026 08:13 PM,02/15/2026 09:12 PM,Employee reported a power outage and alarm activation,NIAGARA HALL,2026-02-18 21:43:32
37,2026-00002059,2,02/15/2026 07:24 PM,02/15/2026 07:24 PM,02/15/2026 07:26 PM,Assisted an outside law enforcement agency with an investigation,PENNSYLVANIA AVE,2026-02-18 21:43:32
38,PSHI-2026-02-I-133881,2,02/15/2026 07:12 PM,02/15/2026 06:21 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
39,26ALtemp0005,3,02/15/2026 07:11 PM,02/15/2026 07:00 PM,02/15/2026 07:08 PM,Student reported being physically assaulted by a known person,SPRUCE HALL,2026-02-18 21:43:32
40,2026-00002055,2,02/15/2026 04:28 PM,10/01/2025 12:00 AM,02/11/2026 11:59 PM,Student reported fraudulent charges,BRUMBAUGH HALL,2026-02-18 21:43:32
41,PSHI-2026-02-I-133879,2,02/15/2026 03:44 PM,02/15/2026 03:03 PM,,Assisted clinical staff with visitor issue.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
42,2026-00002049,2,02/15/2026 02:23 PM,02/14/2026 11:20 PM,02/15/2026 02:40 PM,Student reported being harassed,KATZ BLDG,2026-02-18 21:43:32
43,PSHI-2026-02-I-133876,2,02/15/2026 02:14 PM,02/15/2026 11:40 AM,,,Hershey - Dispatched To: HMC - Main Hospital - 1 - Security Operations Center > HMC - Main Hospital - 1 - Security Operations Center,2026-02-18 21:43:32
44,PSHI-2026-02-I-133872,2,02/15/2026 01:19 PM,02/15/2026 12:09 PM,,,Hershey - Dispatched To: HMC - Parking Lot - Lot M1 > HMC - Parking Lot - Lot M1,2026-02-18 21:43:32
45,PSHI-2026-02-I-133870,2,02/15/2026 11:15 AM,02/15/2026 11:10 AM,,Patient left care prior to discharge.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
46,PSHI-2026-02-I-133869,2,02/15/2026 10:09 AM,02/15/2026 10:08 AM,,Received court documents.,Hershey - Dispatched To: HMC - Children's Hospital - 7 > HMC - Children's Hospital - 7,2026-02-18 21:43:32
47,PSHI-2026-02-I-133868,2,02/15/2026 10:09 AM,02/15/2026 08:38 AM,,AED quarterly inspections.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
48,2026-00002045,2,02/15/2026 09:23 AM,02/15/2026 09:20 AM,02/15/2026 10:30 AM,Visitor reported being assaulted by a known person,HASTINGS RD & UNIVERSITY DR,2026-02-18 21:43:32
49,PSHI-2026-02-I-133866,2,02/15/2026 09:02 AM,02/15/2026 08:58 AM,,,Hershey - Dispatched To: HMC - Main Hospital - 1 - Cashier's Office > HMC - Main Hospital - 1 - Cashier's Office,2026-02-18 21:43:32
50,PSHI-2026-02-I-133864,2,02/15/2026 07:06 AM,02/14/2026 05:13 PM,,Assisted clinical staff with agitated visitor.,Hershey - Dispatched To: HMC - Children's Hospital - 3 > HMC - Children's Hospital - 3,2026-02-18 21:43:32
51,PSHI-2026-02-I-133855,2,02/15/2026 04:04 AM,02/15/2026 03:41 AM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
52,2026-00002040,2,02/15/2026 03:48 AM,02/15/2026 03:48 AM,02/15/2026 03:59 AM,A vehicle stop investigation revealed the operator to be driving under the influence of  alcohol,W COLLEGE AVE & N BURROWES RD,2026-02-18 21:43:32
53,PSHI-2026-02-I-133854,2,02/15/2026 03:19 AM,02/15/2026 02:50 AM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
54,PSHI-2026-02-I-133853,2,02/15/2026 02:23 AM,02/15/2026 02:08 AM,,,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
55,2026-00002034,2,02/15/2026 01:41 AM,02/15/2026 01:41 AM,02/15/2026 02:27 AM,Underage student observed highly intoxicated,SIMMONS HALL,2026-02-18 21:43:32
56,2026-00002033,2,02/15/2026 01:28 AM,02/15/2026 01:10 AM,02/15/2026 01:27 AM,Employee reported persons trespassing inside a restricted area,BEAVER STADIUM,2026-02-18 21:43:32
57,PSHI-2026-02-I-133851,2,02/14/2026 10:52 PM,02/14/2026 09:21 PM,,,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
58,2026-00002019,2,02/14/2026 10:15 PM,02/14/2026 10:15 PM,02/14/2026 10:38 PM,Visitor expressed concern for a student,HIBBS HALL,2026-02-18 21:43:32
59,2026-00002020,2,02/14/2026 10:13 PM,02/14/2026 10:13 PM,02/14/2026 10:32 PM,Student observed highly intoxicated and transported to the hospital,SIMMONS HALL,2026-02-18 21:43:32
60,26ERtemp0003,5,02/14/2026 09:03 PM,02/14/2026 09:03 PM,02/14/2026 09:30 PM,Resident Assistant reported a suspicious odor,NIAGARA HALL,2026-02-18 21:43:32
61,2026-00002016,2,02/14/2026 09:01 PM,02/09/2026 12:00 AM,02/14/2026 09:00 PM,Student reported being harassed,THOMPSON HALL,2026-02-18 21:43:32
62,2026-00002015,2,02/14/2026 08:29 PM,02/14/2026 08:25 PM,02/14/2026 08:42 PM,Resident Assistant reported a suspicious odor,TENER HALL,2026-02-18 21:43:32
63,2026-00002014,2,02/14/2026 08:25 PM,02/14/2026 06:00 PM,02/14/2026 06:45 PM,Student reported the theft of their unsecured personal property,INTRAMURAL BLDG,2026-02-18 21:43:32
64,PSHI-2026-02-I-133849,2,02/14/2026 08:17 PM,02/14/2026 06:47 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
65,PSHI-2026-02-I-133847,2,02/14/2026 05:52 PM,02/14/2026 04:45 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Children's Hospital - 3 > HMC - Children's Hospital - 3,2026-02-18 21:43:32
66,PSHI-2026-02-I-133842,2,02/14/2026 03:06 PM,02/14/2026 02:51 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
67,26ALtemp0004,3,02/14/2026 02:55 PM,02/14/2026 02:55 PM,02/14/2026 04:40 PM,Visitor reported a concern for a student,SPRUCE HALL,2026-02-18 21:43:32
68,PSHI-2026-02-I-133840,2,02/14/2026 02:35 PM,02/14/2026 02:21 PM,,,Hershey - Dispatched To: HMC - Main Hospital - 1 - Cashier's Office > HMC - Main Hospital - 1 - Cashier's Office,2026-02-18 21:43:32
69,2026-00002006,2,02/14/2026 01:03 PM,02/14/2026 03:00 AM,02/14/2026 07:00 AM,Student reported the theft of University property,ROBINSON HALL,2026-02-18 21:43:32
70,2026-00002005,2,02/14/2026 12:32 PM,02/14/2026 12:25 PM,02/14/2026 12:32 PM,Student reported the theft of unsecured personal property,CHEMICAL AND BIOMEDICAL ENGINEERING BLDG,2026-02-18 21:43:32
71,26ABTemp0007,2,02/14/2026 12:16 PM,02/14/2026 12:16 PM,02/14/2026 12:35 PM,Assisted the ambulance with a medical emergency,PHYSICAL EDUCATION BUILDING,2026-02-18 21:43:32
72,26ABTemp0006,2,02/14/2026 11:18 AM,02/14/2026 11:36 AM,,Employee reported a suspicious activity,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32
73,26BKTemp0002,4,02/14/2026 11:07 AM,02/14/2026 10:37 AM,02/14/2026 10:47 AM,Assisted an outside law enforcement agency with an investigation,HILLVALE AVE & SPOHN RD,2026-02-18 21:43:32
74,PSHI-2026-02-I-133831,2,02/14/2026 10:13 AM,02/14/2026 10:04 AM,,,Hershey - Dispatched To: HMC - Centerview Parking Garage > HMC - Centerview Parking Garage,2026-02-18 21:43:32
75,PSHI-2026-02-I-133830,2,02/14/2026 09:46 AM,02/14/2026 09:10 AM,,,Hershey - Dispatched To: HMC - Main Hospital - 3 - Acute Care > HMC - Main Hospital - 3 - Acute Care,2026-02-18 21:43:32
76,26ALtemp0003,3,02/14/2026 09:29 AM,02/13/2026 05:00 PM,02/14/2026 09:00 AM,Employee reported damage to University property,OAK HALL,2026-02-18 21:43:32
77,PSHI-2026-02-I-133827,2,02/14/2026 09:25 AM,02/14/2026 09:21 AM,,Assisted staff with stolen property.,Hershey - Dispatched To: HMC - Main Hospital - 1 - Security Operations Center > HMC - Main Hospital - 1 - Security Operations Center,2026-02-18 21:43:32
78,2026-00001998,2,02/14/2026 08:09 AM,02/14/2026 08:09 AM,02/14/2026 08:49 AM,Student observed highly intoxicated,ATHERTON HALL,2026-02-18 21:43:32
79,26MAtemp0002,17,02/14/2026 06:01 AM,02/14/2026 05:26 AM,02/14/2026 05:29 AM,Student reported theft of their unattended personal property,MONT ALTO HALL,2026-02-18 21:43:32
80,PSHI-2026-02-I-133819,2,02/14/2026 04:55 AM,02/14/2026 03:43 AM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
81,PSHI-2026-02-I-133818,2,02/14/2026 04:12 AM,,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
82,2026-00001995,2,02/14/2026 03:30 AM,02/14/2026 03:30 AM,02/14/2026 04:28 AM,Underage student observed highly intoxicated and transported to the hospital,EARLE HALL,2026-02-18 21:43:32
83,2026-00001994,2,02/14/2026 03:27 AM,02/14/2026 03:27 AM,02/14/2026 03:48 AM,Underage student observed highly intoxicated and transported to the hospital,HIBBS HALL,2026-02-18 21:43:32
84,2026-00001993,2,02/14/2026 03:05 AM,02/14/2026 03:05 AM,02/14/2026 03:32 AM,Student reported damage to University property,HASTINGS HALL,2026-02-18 21:43:32
85,PSHI-2026-02-I-133817,2,02/14/2026 03:02 AM,,,,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
86,2026-00001990,2,02/14/2026 02:28 AM,02/14/2026 02:28 AM,02/14/2026 03:05 AM,Underage student observed highly intoxicated,SPROUL HALL,2026-02-18 21:43:32
87,PSHI-2026-02-I-133814,2,02/14/2026 01:23 AM,02/14/2026 12:15 AM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
88,PSHI-2026-02-I-133813,2,02/14/2026 01:22 AM,02/14/2026 12:48 AM,,,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
89,PSHI-2026-02-I-133810,2,02/13/2026 10:41 PM,02/13/2026 10:20 PM,,Assisted LE with access to patient.,Hershey - Dispatched To: HMC - Main Hospital - 4 - Neuroscience Integrated Care Unit East > HMC - Main Hospital - 4 - Neuroscience Integrated Care Unit East,2026-02-18 21:43:32
90,PSHI-2026-02-I-133808,2,02/13/2026 10:30 PM,02/13/2026 09:26 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
91,2026-00001981,2,02/13/2026 10:25 PM,02/13/2026 10:25 PM,,Student reported theft of unattended personal property,MARTIN HALL,2026-02-18 21:43:32
92,2026-00001975,2,02/13/2026 09:45 PM,02/13/2026 09:35 PM,02/13/2026 09:45 PM,Visitor reported hit and run vehicle crash,PARK AVE & STADIUM WEST RD,2026-02-18 21:43:32
93,2026-00001973,2,02/13/2026 09:40 PM,02/13/2026 09:40 PM,02/13/2026 10:00 PM,Assisted outside law enforcement agency with an investigation,E CALDER WAY & HETZEL ST,2026-02-18 21:43:32
94,PSHI-2026-02-I-133805,2,02/13/2026 09:34 PM,02/13/2026 06:50 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
95,2026-00001961,2,02/13/2026 06:44 PM,02/13/2026 06:44 PM,02/13/2026 07:01 PM,Employee reported a one vehicle accident with no injuries,EAST PARKING DECK,2026-02-18 21:43:32
96,2026-00001960,2,02/13/2026 06:41 PM,02/13/2026 06:41 PM,,Assisted outside law enforcement agency with an investigation,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32
97,2026-00001959,2,02/13/2026 06:15 PM,02/13/2026 06:15 PM,02/13/2026 06:44 PM,Employee reported a one vehicle accident with no injuries,EAST PARKING DECK,2026-02-18 21:43:32
98,PSHI-2026-02-I-133799,2,02/13/2026 05:48 PM,02/13/2026 05:39 PM,,,Hershey - Dispatched To: HMC - Main Hospital - 1 - Cashier's Office > HMC - Main Hospital - 1 - Cashier's Office,2026-02-18 21:43:32
99,PSHI-2026-02-I-133798,2,02/13/2026 05:35 PM,02/13/2026 05:06 PM,,Assisted clinical staff with agitated visitor.,Hershey - Dispatched To: HMC - Children's Hospital - 4 - PIMCU > HMC - Children's Hospital - 4 - PIMCU,2026-02-18 21:43:32
100,PSHI-2026-02-I-133797,2,02/13/2026 05:23 PM,02/14/2026 04:00 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC Off-Site - PSMG - Elizabethtown - PSMG > HMC Off-Site - PSMG - Elizabethtown - PSMG,2026-02-18 21:43:32
101,2026-00001958,2,02/13/2026 04:59 PM,02/13/2026 04:59 PM,02/13/2026 05:38 PM,Employee reported smoke or fire condition,SPARKS BLDG,2026-02-18 21:43:32
102,2026-00001954,2,02/13/2026 03:33 PM,02/13/2026 03:33 PM,02/13/2026 04:15 PM,Two vehicle crash with no injuries,RIDER BLDG,2026-02-18 21:43:32
103,PSHI-2026-02-I-133793,2,02/13/2026 03:31 PM,02/13/2026 02:34 PM,,,Hershey - Dispatched To: HMC - UPC-1 > HMC - UPC-1,2026-02-18 21:43:32
104,PSHI-2026-02-I-133792,2,02/13/2026 02:40 PM,02/13/2026 01:59 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital  > HMC - Main Hospital,2026-02-18 21:43:32
105,2026-00001953,2,02/13/2026 02:08 PM,02/13/2026 02:08 PM,02/13/2026 02:28 PM,Student reported theft of unattended university property,BRILL HALL,2026-02-18 21:43:32
106,PSHI-2026-02-I-133783,2,02/13/2026 11:43 AM,02/13/2026 11:20 AM,,Assisted clinical staff with agitated visitor.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
107,PSHI-2026-02-I-133782,2,02/13/2026 11:40 AM,02/13/2026 11:31 AM,,,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
108,PSHI-2026-02-I-133779,2,02/13/2026 11:26 AM,02/13/2026 11:21 AM,,Visitor fall.,Hershey - Dispatched To: HMC - Main Hospital - 1 - Rotunda Cafe > HMC - Main Hospital - 1 - Rotunda Cafe,2026-02-18 21:43:32
109,PSHI-2026-02-I-133778,2,02/13/2026 11:24 AM,02/13/2026 10:45 AM,,,Hershey - Dispatched To: HMC - Main Hospital - 4 - Neuro > HMC - Main Hospital - 4 - Neuro,2026-02-18 21:43:32
110,2026-00001946,2,02/13/2026 10:53 AM,02/13/2026 10:53 AM,02/13/2026 11:21 AM,Employee reported concern for a student,STUDENT HEALTH CENTER,2026-02-18 21:43:32
111,PSHI-2026-02-I-133776,2,02/13/2026 10:35 AM,02/13/2026 10:07 AM,,,Hershey - Dispatched To: HMC - Centerview Parking Garage > HMC - Centerview Parking Garage,2026-02-18 21:43:32
112,PSHI-2026-02-I-133775,2,02/13/2026 10:09 AM,02/13/2026 09:57 AM,,,Hershey - Dispatched To: HMC - Main Hospital - 3 > HMC - Main Hospital - 3,2026-02-18 21:43:32
113,PSHI-2026-02-I-133774,2,02/13/2026 10:01 AM,02/13/2026 09:27 AM,,,Hershey - Dispatched To: HMC - UPC-1 > HMC - UPC-1,2026-02-18 21:43:32
114,PSHI-2026-02-I-133770,2,02/13/2026 08:07 AM,02/13/2026 07:40 AM,,,Hershey - Dispatched To: HMC - Main Hospital - 1 - Security Operations Center > HMC - Main Hospital - 1 - Security Operations Center,2026-02-18 21:43:32
115,PSHI-2026-02-I-133767,2,02/13/2026 06:20 AM,02/13/2026 06:09 AM,,Patient left care prior to discharge.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
116,PSHI-2026-02-I-133766,2,02/13/2026 05:45 AM,02/12/2026 06:23 PM,,Visitor mismatch to the sex offender registry.,Hershey - Reported Location: HMC - Children's Hospital,2026-02-18 21:43:32
117,26ERtemp0002,5,02/13/2026 12:00 AM,02/13/2026 12:00 AM,02/13/2026 12:10 AM,Resident Assistant reported a suspicious odor,NIAGARA HALL,2026-02-18 21:43:32
118,26ABTemp0003,2,02/13/2026 12:00 AM,02/13/2026 10:03 AM,02/13/2026 10:19 AM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32
119,2026-00001929,2,02/12/2026 08:39 PM,02/12/2026 08:39 PM,02/12/2026 08:57 PM,"Employee reported the odor of marijuana, origin not located",TENER HALL,2026-02-18 21:43:32
120,PSHI-2026-02-I-133760,2,02/12/2026 08:03 PM,02/12/2026 06:53 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
121,PSHI-2026-02-I-133759,2,02/12/2026 06:48 PM,02/12/2026 05:52 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
122,PSHI-2026-02-I-133758,2,02/12/2026 06:41 PM,,,Assisted LE with access to patient.,Hershey - Dispatched To: HMC - 1 - Trauma Surgical Main Southeast      > HMC - 1 - Trauma Surgical Main Southeast,2026-02-18 21:43:32
123,2026-00001917,2,02/12/2026 04:41 PM,02/12/2026 05:30 AM,02/12/2026 04:30 PM,Employee reported suspicious activity,PHYSICAL PLANT BLDG,2026-02-18 21:43:32
124,PSHI-2026-02-I-133752,2,02/12/2026 04:23 PM,02/12/2026 04:00 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
125,PSHI-2026-02-I-133750,2,02/12/2026 02:46 PM,02/12/2026 02:33 PM,,,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
126,2026-00001915,2,02/12/2026 02:36 PM,02/12/2026 02:27 PM,02/12/2026 03:01 PM,"Employee reported the odor of marijuana, origin not located",TENER HALL,2026-02-18 21:43:32
127,PSHI-2026-02-I-133749,2,02/12/2026 02:24 PM,,,"Theft of wallet that was lost, mislaid, or delivered by mistake.",Hershey - Dispatched To: COM - College of Medicine > COM - College of Medicine,2026-02-18 21:43:32
128,2026-00001913,2,02/12/2026 02:00 PM,01/26/2026 01:00 PM,01/26/2026 03:00 PM,Employee reported a university policy violation,NITTANY APT,2026-02-18 21:43:32
129,2026-00001912,2,02/12/2026 01:45 PM,02/09/2026 12:00 AM,02/12/2026 01:45 PM,Student reported being harassed,UNKNOWN ON CAMPUS PROPERTY,2026-02-18 21:43:32
130,PSHI-2026-02-I-133745,2,02/12/2026 12:23 PM,02/12/2026 11:39 AM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
131,26ALtemp0002,3,02/12/2026 12:05 PM,02/12/2026 11:50 AM,,Employee reported suspicious activity,PORT SKY,2026-02-18 21:43:32
132,PSHI-2026-02-I-133744,2,02/12/2026 11:01 AM,02/12/2026 10:30 AM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
133,2026-00001907,2,02/12/2026 10:49 AM,02/11/2026 11:15 AM,02/11/2026 03:00 PM,Visitor reported the theft of their unattended personal property,HOLUBA HALL,2026-02-18 21:43:32
134,PSHI-2026-02-I-133743,2,02/12/2026 10:31 AM,02/12/2026 09:48 AM,,,Hershey - Dispatched To: HMC - UPC-2 - 1 - Dialysis > HMC - UPC-2 - 1 - Dialysis,2026-02-18 21:43:32
135,PSHI-2026-02-I-133742,2,02/12/2026 09:54 AM,02/12/2026 09:10 AM,,Assisted clinical staff with a visitor issue.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
136,PSHI-2026-02-I-133741,2,02/12/2026 09:26 AM,02/12/2026 09:00 AM,,Victim of violence receiving treatment.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
137,2026-00001901,2,02/12/2026 09:25 AM,02/12/2026 09:21 AM,02/12/2026 10:05 AM,Employee reported a university policy violation,SIMMONS HALL,2026-02-18 21:43:32
138,PSHI-2026-02-I-133740,2,02/12/2026 08:59 AM,,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
